,title,price,link
0,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","35,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CM6GVR56/ref=sr_1_294?dib=eyJ2IjoiMSJ9.3XhE8oO9NwTShsDV2tahsReFR7YJj3QMi3V70clPFgZC146k8FV8l8fmS0q4aL6FjCobs-582lY2OoM1948Zo09C0x9XPnhnp8skPLNt1Vo1oedgQe2oh-sOdjh9YDGMJkFXD3wp99kZr74sZlC5WjHnh5quHSrHQ56WTE0rDQ4h5m4ZthbZ3XshbQoavcy8NFlVu_Kx7az2YUguv2x1rbU0XusOLTR69xEeRd5TKbI.o5mXlzs3HSg0zDH5ZYnwZxqxLtlF_kCEAuAYpGD2QBM&dib_tag=se&keywords=laptop&qid=1722233036&sr=8-294
1,"ASUS Vivobook 16X, Intel Core i5-12500H, 16"" FHD+ 60Hz, Creator/Gaming Laptop (16GB RAM/1 TB/RTX 3050/Win 11 Pro/Office 2021/Fingerprint /50WHr Battery/Cool Silver/1.80 kg), K3605ZC-MBN554WS  ","74,990",https://amazon.in//ASUS-Vivobook-i5-12500H-Fingerprint-K3605ZC-MBN554WS/dp/B0D8BS1NKN/ref=sr_1_220?dib=eyJ2IjoiMSJ9.eFTtrXb65DLDioX75BC8mpbMkVY-jiXzLzIMKm2rIuomMfLe5D7rFxXkF3wBEQCbiti2KaV3-ej2VUpBvBe7RHNfQhfAmRnLuVB31qF-Eiwvtrw5rzTSA7Z3UD5E2HrtzyGbrRH-rmiM13J7w1JYTXRF3mg1GfVtCp0agmfnx6D_h9OYTTUU7msb99VCQXFeLuv89vpo3dHax9IbDWkDeoMUI5TC8qKeg8gUb5SkhNY.8sgyWN26-LqVbHSyooLI3bPUu2noIv6iWqGUfwUDBy8&dib_tag=se&keywords=laptop&qid=1722233000&sr=8-220
2,"HP Laptop 15s, 12th Gen Intel Core i7-1255U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB, Thin & light (Win 11, MSO 2021, Silver, 1.69 kg), fq5190TU  ","65,990",https://amazon.in//HP-i7-1255U-15-6-inch-Graphics-fq5190TU/dp/B0C3D99LTP/ref=sr_1_159?dib=eyJ2IjoiMSJ9.oOYa1TIVMiYFkMh3NDaiQ_f5XljbN43AQWGHWny9OUsdATnn_l_OPmc_oO4dAv_V3rBh9a1UmwcfMxzbPXmML-0nfIR2xJ05w_K0sjCtkh6dr8Q-jzq37d2TNoF3BbtxdlgKWBTCNyiDQF4d9XF-MmaShalaA9J2al_cOf5QBYgksEFnBHPBS_pkHX6XkwxwdzS1iPoYSMuoFfwgqyGxMIgzH8iFZStWnJkIIDYYtWY.N5JQWSwTxq1vhn1pTg9d3H858vMOjHWOPpi9utr_p4c&dib_tag=se&keywords=laptop&qid=1722232967&sr=8-159
3,"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM, 144Hz Display (16GB DDR5/1TB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51  ","82,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MzEyNDc1OTQxNTI0MjEyOjE3MjIyMzI5NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDExOTk5NDQ1NjUzMjo6MDo6&url=%2FAcer-i5-13420H-Graphics-Display-ANV15-51%2Fdp%2FB0CQP4T1JV%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.fc684e65-c18a-4031-9f8d-e6a2af0c8bfb%253Aamzn1.sym.fc684e65-c18a-4031-9f8d-e6a2af0c8bfb%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.GC24tnhINbAOyYKD7YUdILzyEEPG3N1FiZb4bJ2ITr4uInSKJbhSTuKIzBSPdqf6hql-yQYKjgVOMOkAEECF_w.3htD57BCu8tP6Ns0yUxyOj3qwOF15gZH73HpaF7xMTo%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CQP4T1JV%26pd_rd_r%3Dd0dd24fc-8ff7-4cd6-9504-4d51197c450f%26pd_rd_w%3DktEZT%26pd_rd_wg%3DWh5hh%26pf_rd_p%3Dfc684e65-c18a-4031-9f8d-e6a2af0c8bfb%26pf_rd_r%3DYP36GMDANEWYJK89CZVG%26qid%3D1722232953%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-113-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
4,"Dell 15 Laptop, 13th Gen Intel Core i5-1335U Processor/ 8GB/ 512GB SSD/15.6"" (39.62cm) FHD AG 120Hz 250 nits Narrow Border/ Win11 + MSO'21/15 Month McAfee/Carbon Black/Thin & Light- 1.66kg  ","49,021",https://amazon.in//Dell-Laptop-i5-1335U-Processor-39-62cm/dp/B0CCSMVFWS/ref=sr_1_206?dib=eyJ2IjoiMSJ9.k3LewyHYpMW8DY3qALDRRNfwZJHqbHLIOYN0r5oN6qv4AfvpM1kvpYQhqvNpPkuvW9r3QnHsHPLfVAOq4zAIugXvibwUiUJ4bHU_mdTb3quc4J3m-9sYv7adQwwTAgUkFvMcF03fDy1ZI_We5QeUk6VjWg-jOKxkIyqi3pflT7ijctxaQm5Zpf-bl7N8JGfIu8xDKgI_h1bRLCThClwu60qgumyQtQS3U9nOpCD7I2s.fSB3LKXpowwH3YuZEwahbT48Da8ndJMzRpmnRNuW_-4&dib_tag=se&keywords=laptop&qid=1722232989&sr=8-206
5,"ASUS Vivobook Go 14 (2023), AMD Ryzen 3 7320U, 14-inch (35.56 cm) FHD, Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.38 kg), E1404FA-NK327WS  ","33,990",https://amazon.in//ASUS-Vivobook-14-inch-Windows-E1404FA-NK327WS/dp/B0CD3YWQWS/ref=sr_1_196?dib=eyJ2IjoiMSJ9.k3LewyHYpMW8DY3qALDRRNfwZJHqbHLIOYN0r5oN6qv4AfvpM1kvpYQhqvNpPkuvW9r3QnHsHPLfVAOq4zAIugXvibwUiUJ4bHU_mdTb3quc4J3m-9sYv7adQwwTAgUkFvMcF03fDy1ZI_We5QeUk6VjWg-jOKxkIyqi3pflT7ijctxaQm5Zpf-bl7N8JGfIu8xDKgI_h1bRLCThClwu60qgumyQtQS3U9nOpCD7I2s.fSB3LKXpowwH3YuZEwahbT48Da8ndJMzRpmnRNuW_-4&dib_tag=se&keywords=laptop&qid=1722232989&sr=8-196
6,"ASUS ROG Strix G17 (2022) Gaming Laptop,AMD Ryzen 7-6800HS,17.3-inch (43.94 cms) FHD 144Hz, RTX 3050 4GB Graphics,(16GB RAM/512GB SSD/Windows 11/Gray/2.5 Kg),G713RC-HX109WS  ","81,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NzczNzQyMjg2NjA0MjA0OjE3MjIyMzI5NDU6c3BfYnRmOjMwMDI0NzY0MTM2NjAzMjo6MDo6&url=%2FASUS-17-3-inch-7-6800HS-Graphics-G713RC-HX109WS%2Fdp%2FB0CJ34MB5Y%2Fref%3Dsr_1_118_sspa%3Fdib%3DeyJ2IjoiMSJ9.ed3pnuabF7Jj-AHSG-arE3ASK8Yc1A02BdZb9b8Cnshk37SF-vSn8M11wcjbwe3GkaaP_CNI5lfLj5M-KSyIX-WLQVaAV5wA5L7IMzOl8ttHXwBReITU217HPie1RBYhSoGIUJdkLeItU1TwJ0ZU25Nk3y9keWohHxCZrbhlZYHga7GP8nCBJlQzs9QVcVyzdrkG4IJY55vv2iuxX9S8da5LEwNlxah87Q6nmo8jbLE.8TVE4sNyvEv-NkU5DapBNpmkYXRjdULpfU6A7IvzXTs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722232945%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
7,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005CIN  ","20,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6005CIN/dp/B0C864DPY2/ref=sr_1_146?dib=eyJ2IjoiMSJ9.9gZfwmd7_ZiUkURcjQ1Ca3ccCjU0K_nxgEclxGa8_c9iR_Egj7tVCKeM75IUwnnxHO72dCEbfm9p3OReCglAHS1S8EGJFbWmwroa_zh0tF0AKuQSvKcjUZocPPgob4GsWenYJl2DR9BxOXEtFOv39Ni8SoYsiZC2Xn9lfq4GPa0DHCzMATweZB4D3uomV8cT6t2jKtZt6baoAdeSjT2GHuS8onP3roBmI_5fw_aNgYE.iR8_pfQd0vLVgWJ2ysJlvulPwKLySS5FYMEai0Hn0K4&dib_tag=se&keywords=laptop&qid=1722232961&sr=8-146
8,"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 7535HS 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win11/Office 2021/NVIDIA RTX 3050 6GB/Alexa/3 Month Game Pass/Onyx Grey/2.3Kg), 82SB00QKIN  ","64,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMjA3NDU0MDc0MzA4MDU6MTcyMjIzMjk3NDpzcF9hdGZfbmV4dDozMDAyNDgzMzQyNzM4MzI6OjA6Og&url=%2FLenovo-IdeaPad-Gaming-39-62cm-82SB00QKIN%2Fdp%2FB0D8HW13XP%2Fref%3Dsr_1_162_sspa%3Fdib%3DeyJ2IjoiMSJ9.jXQuvlZtegS9ouQO07117qLBnvlIpr-AfuIMdp2MfzGI519XE94OM1GROkhlM3vZA-k-mqoJArtDkEFwIAN0snmzj10fMB0TN-mUHKvp3c-KjQS3w-Baq0c-yRBJjKzBTrbyR_Lvc4or2lfmsiqVyqTUakCkK3VQWyQjTF2J9HPz31YR1zXIJYEyLFhDF70c75EL_r8-RGFCZyIuVO90-ystS9nFv_ORix8-epDGmaA.CjCv1U1UzbVK-M70zyS3eHilRIGLHc2U8sv5N7C8v-U%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722232974%26sr%3D8-162-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
9,"ASUS Vivobook 15 (2023), Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Fingerprint/Blue/1.7 kg), X1504VA-NJ323WS  ","42,990",https://amazon.in//ASUS-Vivobook-Integrated-Fingerprint-X1504VA-NJ323WS/dp/B0C1GH5S7G/ref=sr_1_228?dib=eyJ2IjoiMSJ9.7bYOdSJT2HW65IchoGNMRxzsKnL44AKoAEgOMJ-OOXAq9lZUPtLnjknqZb6BdUGI513UxUqhJNVIAFCFMBOLTBLVAMPnsrKEZK28vTPFJvXmWlwTsx9XbebJBk0tMAB533RU8saIDI50uM-aP12dcEJs71-hElQnIBt0UqEqjJGjlREJgs9CPZ9pxciTyVXkiH9Xv_WKRHqH_ISsI7kOqiJkUUB9M48r8CV4kXf9pOw.6qmb32EYeAkyCWAfcSkuJJVWMFuws7wYodBgrpBZ1-Y&dib_tag=se&keywords=laptop&qid=1722233008&sr=8-228
